id;name; price ;weight;thumbnail;reference;ean;description;date_upd;articleGroup;category;category_full;category_id;attribute;features;sale_price;stock;Images;image_0;primary_image;image_1;image_2;image_3;image_4;image_5;image_6;image_7;image_8;image_9;image_10;image_11
1585;MAX DRIVE 16V GREASE GUN KIT; 410.00 ;0;https://sptools.eu/img/tmp/product_mini_5429.jpg;SP81513;9330514071069;"<p>The new SP Max Drive power tool program has been developed to offer superior performance to automotive, industrial and trade applications.</p>
<p></p>
<p>The core to this program is the Max Core microprocessors that offers the ultimate charger to battery to tool interface to improve outright performance. We have embedded microprocessors in all three components to give users longer run times, charge and discharge protection, intelligent current flow and temperature protection. With SP Max Drive using Max Core technology we can offer more work time, more power, more recharges and ultimately better performing tools. </p>
<p></p>
<ul>
<li>Voltage: 16 Volt</li>
<li>Max delivery pressure: 60000psi</li>
<li>450cc cartridge size</li>
<li>Flow Rate: 70g per min</li>
<li>750mm ultra-flexible hose</li>
<li>Air bleed valve simplifies air removal during loading</li>
<li>Multiple loading options (cartridge, bulk &amp; suction)</li>
<li>Non-slip finish for better grip</li>
<li>Charging Time: 1 hour auto cut-off (±10min)</li>
</ul>
<br />
<ul>
<li>16v Industrial Grease Gun - Skin Only</li>
<li>16v Max Lithium 2.0Ah Battery</li>
<li>16v Charger</li>
</ul>";7-1-2026 12:21;5;16v Machines;Power Tools>16v Machines;352;0;;339;1;https://sptools.eu/5429/16v-grease-gun.jpg;https://sptools.eu/5429/16v-grease-gun.jpg;https://sptools.eu/5429/16v-grease-gun.jpg;;;;;;;;;;;
1591;12V MAX-DRIVE - FAST CHARGER; 77.27 ;0;https://sptools.eu/img/tmp/product_mini_3353.jpg;SP81893;9330514070963;"<h3><strong>SP MULTI-FUNCTION MICROPROCESSOR CONTROLLED 12 VOLT BATTERY CHARGER</strong></h3>
<p>This charger features a 9-stage control and protection system to ensure safe and efficient charging:</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>
<p>Programmable Over-Charge Voltage</p>
</li>
<li>
<p>End of Charge Current</p>
</li>
<li>
<p>Temperature Cut-Off</p>
</li>
<li>
<p>Safety Charging Time</p>
</li>
<li>
<p>Charge Termination Signal Reception</p>
</li>
<li>
<p>Over-Charge Voltage Protection</p>
</li>
<li>
<p>Over-Charge Current Protection</p>
</li>
<li>
<p>Short Circuit Protection</p>
</li>
<li>
<p>Relay Control Protection</p>
</li>
</ul>";23-12-2025 15:19;5;Chargers;Power Tools>Chargers;207;0;;77,27;1;https://sptools.eu/3353/battery-charger-12v20a.jpg;https://sptools.eu/3353/battery-charger-12v20a.jpg;https://sptools.eu/3353/battery-charger-12v20a.jpg;;;;;;;;;;;
1595;"MAX DRIVE 16V RATCHET KIT 1/2"""; 355.00 ;0;https://sptools.eu/img/tmp/product_mini_5419.jpg;SP81623-1;;"<p><strong>SPECIFICATIONS:</strong></p>
<p></p>
<p>• No-Load Speed: 180rpm</p>
<p>• Torque: 120 N-m</p>
<p>• Capacity: 1/2” (12mm)</p>
<p>• Weight: 1.79kg (With Battery) (Battery 0.185kg)</p>
<p>• Ergonomic soft grip handle for comfortable use</p>
<p>• Charging Time: 1 hour auto cut-off (±10min)</p>
<p>• Powerful 4 pole motor</p>
<p></p>
<p><strong>Contents:</strong></p>
<p></p>
<p>• 16v 1/2 ratchet wrench</p>
<p>• 1pc x 2.0Ah Li-Ion Battery</p>
<p>• 1pc Battery Charger</p>
<p></p>";5-1-2026 19:24;5;16v Machines;Power Tools>16v Machines;352;0;;299;1;https://sptools.eu/5419/16v-ratchet-wrench.jpg;https://sptools.eu/5419/16v-ratchet-wrench.jpg;https://sptools.eu/5419/16v-ratchet-wrench.jpg;;;;;;;;;;;
1601;"TORQUE WRENCH 1/4""290MM 5-25NM"; 132.33 ;6;https://sptools.eu/img/tmp/product_mini_3367.jpg;SP35152;9330514069363;"Check out our torque wrenches, available in 7 different sizes! These wrenches feature a click type signal that alerts you when the required torque is reached, a reversible ratchet for clockwise torque only, and a scale adjuster for accurate and easy adjustment. The adjuster lock will hold your required setting during use, and the easy-to-read scale with a convex lens makes it simple to see the bold scale numbering (N-m scale only). Plus, the quick release mechanism makes using these wrenches a breeze. See below for the different sizes available:<br />
<br />
| PART NO. | DRIVE | LENGTH | RANGE |<br />
|----------|-------|--------|-------|<br />
| SP35152 | 1/4’’Dr | 323mm | 5-25Nm |<br />
| SP35252 | 3/8’’Dr | 400mm | 20-100Nm |<br />
| SP35352 | 1/2’’Dr | 517mm | 40-200Nm |<br />
| SP35353 | 1/2’’Dr | 517mm | 60-340Nm |<br />
| SP35463 | 3/4’’Dr | 918mm | 110-550Nm |<br />
| SP35473 | 3/4’’Dr | 1210mm | 150-750Nm |<br />
| SP35573 | 1’’Dr | 1500mm | 200-1000Nm |";6-1-2026 12:21;6;Torque Wrenches;Specialty Tools >Torque Wrenches;358;0;;96;1;https://sptools.eu/3367/micrometer-torque-wrench-14dr-5-25nm.jpg;https://sptools.eu/3367/micrometer-torque-wrench-14dr-5-25nm.jpg;https://sptools.eu/3367/micrometer-torque-wrench-14dr-5-25nm.jpg;;;;;;;;;;;
1602;"TORQUE MICROMETER WRENCH 3/8"" 400MM 20-100NM"; 160.00 ;6;https://sptools.eu/img/tmp/product_mini_3368.jpg;SP35252;9330514069370;"<ul class=""ul1"">
<li class=""li1""><span class=""s1""></span>Click type signal alerts user when the required torque is reached</li>
<li class=""li1""><span class=""s1""></span>Reversible ratchet (clock wise torque only)</li>
<li class=""li1""><span class=""s1""></span>Scale Adjuster - accurate &amp; easy adjustment</li>
<li class=""li1""><span class=""s1""></span>Adjuster lock will hold required setting during use</li>
<li class=""li1""><span class=""s1""></span>Easy readable scale convex lens enlarges well defined, bold scale numbering. (N-m scale only)</li>
<li class=""li1""><span class=""s1""></span>Quick release mechanism</li>
<li class=""li1"">Micrometer Torque Wrench 3/8""Dr</li>
<li class=""li1"">MM Long: 405mm long</li>
<li class=""li1"">N-M: 20-100Nm</li>
<li class=""li1"">Works Clockwise and Anti-Clockwise</li>
</ul>
<p></p>
<p></p>";6-1-2026 12:20;6;Torque Wrenches;Specialty Tools >Torque Wrenches;358;0;;117;1;https://sptools.eu/3368/micrometer-torque-wrench-38dr-20-100nm.jpg;https://sptools.eu/3368/micrometer-torque-wrench-38dr-20-100nm.jpg;https://sptools.eu/3368/micrometer-torque-wrench-38dr-20-100nm.jpg;;;;;;;;;;;
1603;"TORQUE MICROMETER WRENCH 1/2""DR 517MM 40-200NM"; 174.44 ;6;https://sptools.eu/img/tmp/product_mini_3369.jpg;SP35352;9330514069387;"<ul class=""ul1"">
<li class=""li1""><span class=""s1""></span>Available in 7 sizes</li>
<li class=""li1""><span class=""s1""></span>Click type signal alerts user when the required torque is reached</li>
<li class=""li1""><span class=""s1""></span>Reversible ratchet (clock wise torque only)</li>
<li class=""li1""><span class=""s1""></span>Scale Adjuster - accurate &amp; easy adjustment</li>
<li class=""li1""><span class=""s1""></span>Adjuster lock will hold required setting during use</li>
<li class=""li1""><span class=""s1""></span>Easy readable scale convex lens enlarges well defined, bold scale numbering. (N-m scale only)</li>
<li class=""li1""><span class=""s1""></span>Quick release mechanism</li>
<li class=""li1"">1Micrometer Torque Wrench 1/2""Dr</li>
<li class=""li1"">MM Long: 500mm long</li>
<li class=""li1"">N-M: 40-200Nm</li>
<li class=""li1"">Works Clockwise and Anti-Clockwise</li>
</ul>
<p></p>";6-1-2026 11:41;6;Torque Wrenches;Specialty Tools >Torque Wrenches;358;0;;127;1;https://sptools.eu/3369/micrometer-torque-wrench-12dr-40-200nm.jpg;https://sptools.eu/3369/micrometer-torque-wrench-12dr-40-200nm.jpg;https://sptools.eu/3369/micrometer-torque-wrench-12dr-40-200nm.jpg;;;;;;;;;;;
1604;"1/2"" TORQUE WRENCH 595MM"; 252.64 ;6;https://sptools.eu/img/tmp/product_mini_3370.jpg;SP35353;;"<ul class=""ul1"">
<li class=""li1""><span class=""s1""></span>Available in 7 sizes</li>
<li class=""li1""><span class=""s1""></span>Click type signal alerts user when the required torque is reached</li>
<li class=""li1""><span class=""s1""></span>Reversible ratchet (clock wise torque only)</li>
<li class=""li1""><span class=""s1""></span>Scale Adjuster - accurate &amp; easy adjustment</li>
<li class=""li1""><span class=""s1""></span>Adjuster lock will hold required setting during use</li>
<li class=""li1""><span class=""s1""></span>Easy readable scale convex lens enlarges well defined, bold scale numbering. (N-m scale only)</li>
<li class=""li1""><span class=""s1""></span>Quick release mechanism</li>
<li class=""li1"">Micrometer Torque Wrench 1/2""Dr</li>
<li class=""li1"">MM Long: 595mm long</li>
<li class=""li1"">N-M: 60-340Nm</li>
<li class=""li1"">Works Clockwise and Anti-Clockwise</li>
</ul>";11-1-2026 22:01;6;Torque Wrenches;Specialty Tools >Torque Wrenches;358;0;;179;1;https://sptools.eu/3370/micrometer-torque-wrench-12dr-60-340nm.jpg;https://sptools.eu/3370/micrometer-torque-wrench-12dr-60-340nm.jpg;https://sptools.eu/3370/micrometer-torque-wrench-12dr-60-340nm.jpg;;;;;;;;;;;
1605;"TORQUE MICROMETER WRENCH 3/4""DR 918MM 110-550NM"; 806.05 ;6;https://sptools.eu/img/tmp/product_mini_3371.jpg;SP35463;9330514069404;"<ul class=""ul1"">
<li class=""li1""><span class=""s1""></span>Available in 7 sizes</li>
<li class=""li1""><span class=""s1""></span>Click type signal alerts user when the required torque is reached</li>
<li class=""li1""><span class=""s1""></span>Reversible ratchet (clock wise torque only)</li>
<li class=""li1""><span class=""s1""></span>Scale Adjuster - accurate &amp; easy adjustment</li>
<li class=""li1""><span class=""s1""></span>Adjuster lock will hold required setting during use</li>
<li class=""li1""><span class=""s1""></span>Easy readable scale convex lens enlarges well defined, bold scale numbering. (N-m scale only)</li>
<li class=""li1""><span class=""s1""></span>Quick release mechanism</li>
<li class=""li1"">Micrometer Torque Wrench 3/4""Dr</li>
<li class=""li1"">MM Long: 970mm long</li>
<li class=""li1"">N-M: 110-550Nm</li>
<li class=""li1"">Works Clockwise and Anti-Clockwise</li>
</ul>";6-1-2026 12:19;6;Torque Wrenches;Specialty Tools >Torque Wrenches;358;0;;587;1;https://sptools.eu/3371/micrometer-torque-wrench-34dr-110-550nm.jpg;https://sptools.eu/3371/micrometer-torque-wrench-34dr-110-550nm.jpg;https://sptools.eu/3371/micrometer-torque-wrench-34dr-110-550nm.jpg;;;;;;;;;;;
1606;"TORQUE MICROMETER WRENCH 3/4""DR 1210MM 150-750NM"; 925.16 ;6;https://sptools.eu/img/tmp/product_mini_3372.jpg;SP35473;9330514069411;"<ul class=""ul1"">
<li class=""li1""><span class=""s1""></span>Available in 7 sizes</li>
<li class=""li1""><span class=""s1""></span>Click type signal alerts user when the required torque is reached</li>
<li class=""li1""><span class=""s1""></span>Reversible ratchet (clock wise torque only)</li>
<li class=""li1""><span class=""s1""></span>Scale Adjuster - accurate &amp; easy adjustment</li>
<li class=""li1""><span class=""s1""></span>Adjuster lock will hold required setting during use</li>
<li class=""li1""><span class=""s1""></span>Easy readable scale convex lens enlarges well defined, bold scale numbering. (N-m scale only)</li>
<li class=""li1""><span class=""s1""></span>Quick release mechanism</li>
<li class=""li1"">Micrometer Torque Wrench 3/4""Dr</li>
<li class=""li1"">MM Long: 1170mm long</li>
<li class=""li1"">N-M: 150-750Nm</li>
<li class=""li1"">Works Clockwise and Anti-Clockwise</li>
</ul>";6-1-2026 12:19;6;Torque Wrenches;Specialty Tools >Torque Wrenches;358;0;;675;0;https://sptools.eu/3372/micrometer-torque-wrench-34dr-150-750nm.jpg;https://sptools.eu/3372/micrometer-torque-wrench-34dr-150-750nm.jpg;https://sptools.eu/3372/micrometer-torque-wrench-34dr-150-750nm.jpg;;;;;;;;;;;
1607;"TORQUE MICROMETER WRENCH 1""DR 1500MM"; 1.064.71 ;6;https://sptools.eu/img/tmp/product_mini_3373.jpg;SP35573;9330514069428;"<ul class=""ul1"">
<li class=""li1""><span class=""s1""></span>Available in 7 sizes</li>
<li class=""li1""><span class=""s1""></span>Click type signal alerts user when the required torque is reached</li>
<li class=""li1""><span class=""s1""></span>Reversible ratchet (clock wise torque only)</li>
<li class=""li1""><span class=""s1""></span>Scale Adjuster - accurate &amp; easy adjustment</li>
<li class=""li1""><span class=""s1""></span>Adjuster lock will hold required setting during use</li>
<li class=""li1""><span class=""s1""></span>Easy readable scale convex lens enlarges well defined, bold scale numbering. (N-m scale only)</li>
<li class=""li1""><span class=""s1""></span>Quick release mechanism</li>
<li class=""li1"">Micrometer Torque Wrench 1""Dr</li>
<li class=""li1"">MM Long: 1370mm long</li>
<li class=""li1"">N-M: 200-1000Nm</li>
<li class=""li1"">Works Clockwise and Anti-Clockwise</li>
</ul>";6-1-2026 11:41;6;Torque Wrenches;Specialty Tools >Torque Wrenches;358;0;;775;0;https://sptools.eu/3373/micrometer-torque-wrench-1dr-200-1000nm.jpg;https://sptools.eu/3373/micrometer-torque-wrench-1dr-200-1000nm.jpg;https://sptools.eu/3373/micrometer-torque-wrench-1dr-200-1000nm.jpg;;;;;;;;;;;
